CLIENT READY FUNNEL TRACKING,,,,,,,,,,,,,,,,,,,,,
Based on Cat Howell method + funnel-specific breakdowns,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DAILY TRACKING,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Landing Page Views,New Customers,Front-End Revenue,Bump 1 ($17),Bump 2 ($37),Bump 3 ($67),Total Bump Revenue,OTO1 Self-Paced ($97),OTO1 Sprint ($297),OTO2 DFY ($397),Total OTO Revenue,Total Ad Revenue,Ad Spend,Net Profit,AOV,ROAS,CPA,Front-End CVR %,Bump Take Rate %,Scaled?,Activities/Changes
,,,,,,,,,,,,,,,,,,,,,
TOTAL,,$0,,$0,#DIV/0!,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
BENCHMARKS & TARGETS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Metric,Target,Current,Status,Notes,,,,,,,,,,,,,,,,
AOV,$120-150,#DIV/0!,,Cat's range: $127-182,,,,,,,,,,,,,,,,
ROAS,2.0+,#DIV/0!,,Cat's range: 2.0-2.35,,,,,,,,,,,,,,,,
CPA,< AOV,#DIV/0!,,Must be less than AOV to profit,,,,,,,,,,,,,,,,
Front-End CVR,5-6%,#DIV/0!,,Cat's benchmark with video,,,,,,,,,,,,,,,,
Bump Take Rate,30%+,#DIV/0!,,Goal: at least 1 bump per 3 customers,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
FORMULAS (for Google Sheets / Excel),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Column,Formula,Description,,,,,,,,,,,,,,,,,,,
Total Bump Revenue,=E+F+G,Sum of Bump 1 + Bump 2 + Bump 3,,,,,,,,,,,,,,,,,,,
Total OTO Revenue,=I+J+K,Sum of OTO1 SP + OTO1 Sprint + OTO2,,,,,,,,,,,,,,,,,,,
Total Ad Revenue,=D+H+L,Front-End + Bumps + OTOs,,,,,,,,,,,,,,,,,,,
Net Profit,=M-N,Total Revenue - Ad Spend,,,,,,,,,,,,,,,,,,,
AOV,=M/C,Total Revenue / New Customers,,,,,,,,,,,,,,,,,,,
ROAS,=M/N,Total Revenue / Ad Spend,,,,,,,,,,,,,,,,,,,
CPA,=N/C,Ad Spend / New Customers,,,,,,,,,,,,,,,,,,,
Front-End CVR,=C/B,New Customers / Landing Page Views,,,,,,,,,,,,,,,,,,,
Bump Take Rate,=(Bump units sold)/(New Customers),How many bumps per customer,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
DAILY WORKFLOW (10 min),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1. Open Ads Manager - set date to yesterday,,,,,,,,,,,,,,,,,,,,,
2. Check Landing Page Views (from campaign),,,,,,,,,,,,,,,,,,,,,
3. Check Results (purchases) = New Customers,,,,,,,,,,,,,,,,,,,,,
4. Check Results Value = Total Revenue,,,,,,,,,,,,,,,,,,,,,
5. Go to Ads Reporting for total spend,,,,,,,,,,,,,,,,,,,,,
6. Pull bump/OTO breakdown from GoHighLevel,,,,,,,,,,,,,,,,,,,,,
7. Enter all numbers into spreadsheet,,,,,,,,,,,,,,,,,,,,,
8. Check frequency on active campaigns,,,,,,,,,,,,,,,,,,,,,
9. Note any changes in Activities column,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
FREQUENCY CHECK,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Frequency,Status,Action,,,,,,,,,,,,,,,,,,,
< 2,Healthy,Can scale,,,,,,,,,,,,,,,,,,,
2,Warning,Monitor closely,,,,,,,,,,,,,,,,,,,
3+,Fatigued,Do NOT scale - roll out new creatives,,,,,,,,,,,,,,,,,,,
